fiscal_year,year,month,month_numeric,day,date_stamp,volume_in_mn,value_in_cr,updated_on,released_on,data_source,data_url
2021-22,2021,May,5,1,2021-05-01,2.12,691.22,2026-04-03,2021-06-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,May,5,2,2021-05-02,1.52,455.60,2026-04-03,2021-06-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,May,5,3,2021-05-03,2.37,759.92,2026-04-03,2021-06-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,May,5,4,2021-05-04,2.58,834.92,2026-04-03,2021-06-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,May,5,5,2021-05-05,2.38,766.24,2026-04-03,2021-06-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,May,5,6,2021-05-06,2.51,798.30,2026-04-03,2021-06-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,May,5,7,2021-05-07,2.46,776.85,2026-04-03,2021-06-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,May,5,8,2021-05-08,2.23,697.17,2026-04-03,2021-06-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,May,5,9,2021-05-09,1.55,455.82,2026-04-03,2021-06-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,May,5,10,2021-05-10,2.52,804.55,2026-04-03,2021-06-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,May,5,11,2021-05-11,2.71,843.28,2026-04-03,2021-06-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,May,5,12,2021-05-12,2.55,769.28,2026-04-03,2021-06-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
