fiscal_year,year,month,month_numeric,volume_in_mn,avg_daily_volume_in_mn,value_in_cr,avg_daily_value_in_cr,updated_on,released_on,data_source,data_url
2021-22,2021,June,6,106.0,3.5333,63.65,2.1217,2026-04-03,2021-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,July,7,103.0,3.3226,60.78,1.9606,2026-04-03,2021-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,August,8,105.0,3.3871,61.48,1.9832,2026-04-03,2021-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,September,9,98.0,3.2667,57.3,1.91,2026-04-03,2021-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,October,10,86.0,2.7742,48.74,1.5723,2026-04-03,2021-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,November,11,62.0,2.0667,35.38,1.1793,2026-04-03,2021-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2021,December,12,65.0,2.0968,36.23,1.1687,2026-04-03,2022-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2022,January,1,55.0,1.7742,29.33,0.9461,2026-04-03,2022-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2022,February,2,51.0,1.8214,27.77,0.9918,2026-04-03,2022-03-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2021-22,2022,March,3,56.0,1.8065,34.85,1.1242,2026-04-03,2022-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,June,6,0.06,0.0021,36.72,1.224,2026-04-03,2022-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,July,7,0.41,0.0132,39.51,1.2745,2026-04-03,2022-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,August,8,0.05,0.0017,30.25,0.9758,2026-04-03,2022-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,September,9,55.0,1.8333,31.51,1.0503,2026-04-03,2022-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,October,10,56.0,1.8065,30.62,0.9877,2026-04-03,2022-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,November,11,0.05,0.0017,29.3,0.9767,2026-04-03,2022-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2022,December,12,0.03,0.001,20.93,0.6752,2026-04-03,2023-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2023,January,1,0.03,0.001,22.73,0.7332,2026-04-03,2023-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2023,February,2,0.03,0.0011,22.44,0.8015,2026-04-03,2023-03-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2022-23,2023,March,3,0.04,0.0012,23.51,0.7584,2026-04-03,2023-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2023-24,2023,June,6,0.03,0.001,20.4,0.6801,2026-04-03,2023-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2023-24,2023,July,7,0.03,0.001,21.63,0.6977,2026-04-03,2023-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2023-24,2023,August,8,0.03,0.0011,21.79,0.7028,2026-04-03,2023-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2023-24,2023,September,9,0.03,0.001,21.09,0.7029,2026-04-03,2023-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2023-24,2023,October,10,0.03,0.001,20.08,0.6477,2026-04-03,2023-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2023-24,2023,November,11,0.03,0.001,18.66,0.622,2026-04-03,2023-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2023-24,2023,December,12,0.03,0.001,22.74,0.7335,2026-04-03,2024-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
