fiscal_year,year,month,month_numeric,total_approved_transaction,approved_off_us_transaction,approved_off_us_value,approved_bhim_aadhaar_pay_transaction,approved_bhim_aadhaar_pay_value,approved_on_us_authentication_transaction,successful_ekyc,approved_demo_auth_authenticated,updated_on,released_on,data_source,data_url
2017-18,2017,April,4,56.53,9.42,793.03,0.01,0.61,47.1,6.07,5.88,2026-04-03,2017-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2017-18,2017,May,5,68.07,11.37,1169.62,0.01,0.98,56.69,9.12,8.46,2026-04-03,2017-06-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2017-18,2017,June,6,75.52,11.87,1311.8,0.01,1.02,63.64,12.61,6.14,2026-04-03,2017-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2017-18,2017,July,7,76.97,12.88,1408.87,0.01,0.77,64.08,18.7,6.71,2026-04-03,2017-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2017-18,2017,August,8,81.08,14.13,1673.44,0.02,1.37,66.93,13.23,40.90,2026-04-03,2017-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2017-18,2017,September,9,81.65,15.65,2047.32,0.04,2.9,65.96,14.34,229.79,2026-04-03,2017-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2017-18,2017,October,10,81.06,17.5,2524.87,0.05,3.9,63.51,11.5,107.67,2026-04-03,2017-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2017-18,2017,November,11,83.09,17.51,2561.96,0.1,4.86,65.48,12.94,96.27,2026-04-03,2017-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2017-18,2017,December,12,86.68,17.29,2621.66,0.42,9.7,68.98,13.49,46.79,2026-04-03,2018-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2017-18,2018,January,1,92.97,21.44,3285.1,0.37,11.36,71.16,12.32,31.93,2026-04-03,2018-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2017-18,2018,February,2,98.95,23.92,3486.1,0.41,16.93,74.62,14.1,26.02,2026-04-03,2018-03-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2017-18,2018,March,3,100.53,26.48,3954.87,0.51,23.67,73.54,17.58,33.14,2026-04-03,2018-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2018-19,2018,April,4,113.8,29.39,4112.42,0.49,39.79,83.92,13.65,16.11,2026-04-03,2018-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2018-19,2018,May,5,116.85,31.06,4297.24,0.59,50.12,85.21,14.19,16.21,2026-04-03,2018-06-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2018-19,2018,June,6,124.05,34.42,4715.44,0.63,63.11,89,16.2,14.01,2026-04-03,2018-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2018-19,2018,July,7,131.6,38.79,4754.04,0.5,60.03,92.32,20.68,15.71,2026-04-03,2018-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2018-19,2018,August,8,140.12,41.5,5107.85,0.47,62.77,98.15,21.29,15.77,2026-04-03,2018-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2018-19,2018,September,9,137.97,42.24,5137.63,0.52,65.99,95.21,19.89,14.43,2026-04-03,2018-10-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2018-19,2018,October,10,150.74,47.79,5821.65,0.53,71.6,102.42,12.68,10.90,2026-04-03,2018-11-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2018-19,2018,November,11,137.06,44.17,5980.66,0.5,68.5,92.38,6,8.82,2026-04-03,2018-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2018-19,2018,December,12,142.98,45.47,6131.34,0.58,78.52,96.94,6.44,8.55,2026-04-03,2019-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2018-19,2019,January,1,155.36,48.35,6344.91,0.6,79.37,106.41,7.32,5.72,2026-04-03,2019-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2018-19,2019,February,2,158.02,50.58,6488.56,0.61,75.97,106.83,7.63,5.65,2026-04-03,2019-03-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2018-19,2019,March,3,185.55,63.48,8124.04,0.76,99.7,121.31,6.77,4.45,2026-04-03,2019-04-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2019-20,2019,April,4,189.67,67.67,9251.8,0.7,99.37,121.3,4.89,3.30,2026-04-03,2019-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2019-20,2019,May,5,184.47,65.35,9132.25,0.68,96.34,118.43,5.25,,2026-04-03,2019-06-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2019-20,2019,June,6,185.09,67.81,8774.04,0.67,93.28,116.61,6.78,2.46,2026-04-03,2019-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
2019-20,2019,July,7,206.76,77.52,9594.62,0.71,90.73,128.53,9.71,3.70,2026-04-03,2019-08-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/aeps/product-statistics
