fiscal_year,year,month,month_numeric,imps_beneficiary_banks,total_volume_mn,approved_pct,bd_pct,td_pct,deemed_approved_pct,updated_on,released_on,data_source,data_url
2025-26,2025,June,6,State Bank of India,98.29,97.8,1.8,0.24,0.17,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,HDFC Bank,33.46,97.51,2.38,0.1,0.01,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,Bank of Baroda,27,96.65,3.07,0.1,0.18,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,Punjab National Bank,26.26,97.05,2.9,0.03,0.02,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,Union Bank of India,23.45,97.54,2.24,0.17,0.05,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,Kotak Mahindra Bank,21.86,97.48,2.34,0.16,0.01,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,Airtel Payments Bank,19.16,93.7,5.88,0.28,0.14,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,Canara Bank,18.75,97.9,1.95,0.08,0.07,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,ICICI Bank,16.62,96.31,3.67,0.02,0,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,Axis Bank,14.37,96.48,3.44,0.04,0.05,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,Bank of India,13.55,95.92,2.95,0.92,0.21,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,Indian Bank,12.97,97.62,2.26,0.06,0.05,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,Central Bank of India,12.33,96.9,1.65,1.12,0.33,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,India Post Payments Bank Limited,10.19,94.66,5.01,0.2,0.13,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,Indusind Bank,7.84,95.42,2.83,1.32,0.43,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,Federal Bank,7.32,94.04,5.86,0.06,0.05,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,Indian Overseas Bank,6.43,96.24,3.08,0.48,0.21,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,IDBI Bank,5.27,95.58,4.12,0.23,0.06,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,Fino Payments Bank,5.14,79.62,19.69,0.61,0.09,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,Karnataka Bank,4.93,96,1.81,1.49,0.69,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,Bandhan Bank Limited,4.84,97.21,2.01,0.51,0.26,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,Bank of Maharashtra,4.83,91.25,8.65,0.06,0.03,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,Jammu And Kashmir Bank,4.43,97.74,1.89,0.29,0.09,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,Uco Bank,4.14,96.32,3.2,0.36,0.11,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,IDFC Bank,3.69,96.14,2.74,1.08,0.04,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
2025-26,2025,June,6,Karur Vysya Bank,3.35,96.11,2.79,0.89,0.2,2026-04-03,2025-07-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/imps
