fiscal_year,year,month,month_numeric,performance_type,sr_no,psp,total_volume,approved_percent,td_percent,bd_percent,updated_on,released_on,data_source,data_url
2022-23,2022,December,12,Payer PSP Performance,1,Yes Bank Ltd,18448773,99.69,0.03,0.28,2026-04-06,2023-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,December,12,Payer PSP Performance,2,Paytm Payments Bank,18244554,99.84,0,0.16,2026-04-06,2023-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,December,12,Payer PSP Performance,3,Axis Bank Ltd,5211793,99.55,0.05,0.4,2026-04-06,2023-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,December,12,Payer PSP Performance,4,ICICI Bank,4381833,98.62,0.02,1.37,2026-04-06,2023-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,December,12,Payer PSP Performance,5,HDFC Bank Ltd,1374672,92.14,0.35,7.5,2026-04-06,2023-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,December,12,Payer PSP Performance,6,BHIM,462960,98.26,0,1.74,2026-04-06,2023-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,December,12,Payer PSP Performance,7,DBS Bank India Limited,3582,77.97,0.92,21.11,2026-04-06,2023-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,December,12,Payer PSP Performance,8,State Bank Of India,2154,89.74,0.28,9.98,2026-04-06,2023-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,December,12,Payer PSP Performance,9,Jio Payments Bank,948,67.19,25.21,7.59,2026-04-06,2023-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,December,12,Payer PSP Performance,10,Canara Bank,827,99.52,0.24,0.24,2026-04-06,2023-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,December,12,Payer PSP Performance,11,Bank of India,597,70.52,0,29.48,2026-04-06,2023-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,December,12,Payer PSP Performance,12,Bank of Baroda,368,97.55,1.09,1.36,2026-04-06,2023-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,December,12,Payer PSP Performance,13,Indian Bank,234,91.45,0.43,8.12,2026-04-06,2023-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,December,12,Payer PSP Performance,14,Union Bank of India,137,94.89,0,5.11,2026-04-06,2023-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,December,12,Payer PSP Performance,15,Central Bank Of India,128,45.31,0,54.69,2026-04-06,2023-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,November,11,Payer PSP Performance,1,Yes Bank Ltd,16193933,59.83,1.29,38.88,2026-04-06,2022-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,November,11,Payer PSP Performance,2,Paytm Payments Bank,14124826,50.9,0.93,48.17,2026-04-06,2022-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,November,11,Payer PSP Performance,3,Axis Bank Ltd,4275499,55.63,1.2,43.17,2026-04-06,2022-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,November,11,Payer PSP Performance,4,ICICI Bank,3443568,53.43,1.19,45.38,2026-04-06,2022-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,November,11,Payer PSP Performance,5,HDFC Bank Ltd,1042973,80.77,0.82,18.42,2026-04-06,2022-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,November,11,Payer PSP Performance,6,BHIM,387947,77.88,1.25,20.87,2026-04-06,2022-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,November,11,Payer PSP Performance,7,DBS Bank India Limited,1992,99.55,0,0.45,2026-04-06,2022-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,November,11,Payer PSP Performance,8,State Bank Of India,1422,95.92,0.7,3.38,2026-04-06,2022-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,November,11,Payer PSP Performance,9,Canara Bank,716,71.93,0.84,27.23,2026-04-06,2022-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,November,11,Payer PSP Performance,10,Jio Payments Bank,362,77.07,0.83,22.1,2026-04-06,2022-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,November,11,Payer PSP Performance,11,Bank of Baroda,271,81.55,0.37,18.08,2026-04-06,2022-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,November,11,Payer PSP Performance,12,Bank of India,270,85.19,0.37,14.44,2026-04-06,2022-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,November,11,Payer PSP Performance,13,Indian Bank,95,96.84,0,3.16,2026-04-06,2022-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,November,11,Payer PSP Performance,14,IndusInd Bank,42,97.62,0,2.38,2026-04-06,2022-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,November,11,Payer PSP Performance,15,Dhanlaxmi Bank Ltd,11,100,0,0,2026-04-06,2022-12-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2023-24,2023,April,4,Payer PSP Performance,1,Yes Bank Ltd,13240776,98.63,0,1.37,2026-04-06,2023-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2023-24,2023,April,4,Payer PSP Performance,2,Paytm Payments Bank,9392347,98.4,0.13,1.47,2026-04-06,2023-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2023-24,2023,April,4,Payer PSP Performance,3,Axis Bank Ltd,3840953,98.45,0.01,1.54,2026-04-06,2023-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2023-24,2023,April,4,Payer PSP Performance,4,ICICI Bank,3380564,97.81,0,2.19,2026-04-06,2023-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2023-24,2023,April,4,Payer PSP Performance,5,HDFC Bank Ltd,1633435,90.23,0,9.76,2026-04-06,2023-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2023-24,2023,April,4,Payer PSP Performance,6,State Bank Of India,625603,90.18,0.05,9.77,2026-04-06,2023-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2023-24,2023,April,4,Payer PSP Performance,7,BHIM,353979,85.49,0.11,14.4,2026-04-06,2023-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2023-24,2023,April,4,Payer PSP Performance,8,Jio Payments Bank,10065,10.54,43.23,46.23,2026-04-06,2023-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2023-24,2023,April,4,Payer PSP Performance,9,DBS Bank India Limited,6910,57.34,0,42.66,2026-04-06,2023-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2023-24,2023,April,4,Payer PSP Performance,10,Bank of India,853,54.28,0,45.72,2026-04-06,2023-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2023-24,2023,April,4,Payer PSP Performance,11,Canara Bank,714,99.58,0,0.42,2026-04-06,2023-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2023-24,2023,April,4,Payer PSP Performance,12,IndusInd Bank,93,78.49,0,21.51,2026-04-06,2023-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2023-24,2023,April,4,Payer PSP Performance,13,Dhanlaxmi Bank Ltd,38,100,0,0,2026-04-06,2023-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2023-24,2023,April,4,Payer PSP Performance,14,Punjab National Bank,18,100,0,0,2026-04-06,2023-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2023-24,2023,August,8,Payer PSP Performance,1,Yes Bank Ltd,16480725,97.59,0,2.41,2026-04-06,2023-09-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
