fiscal_year,year,month,month_numeric,performance_type,sr_no,psp,total_volume,approved_percent,td_percent,bd_percent,updated_on,released_on,data_source,data_url
2022-23,2022,December,12,Payer PSP Performance,1,Yes Bank Ltd,2681441,93.17,0.22,6.61,2026-04-06,2023-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,December,12,Payer PSP Performance,2,Paytm Payments Bank,1823829,90.3,0.12,9.58,2026-04-06,2023-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,December,12,Payer PSP Performance,3,Axis Bank Ltd,1190477,88.6,1.15,10.25,2026-04-06,2023-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,December,12,Payer PSP Performance,4,ICICI Bank,993831,89.88,0.38,9.74,2026-04-06,2023-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,December,12,Payer PSP Performance,5,HDFC Bank Ltd,561133,82.56,2.59,14.85,2026-04-06,2023-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,December,12,Payer PSP Performance,6,BHIM,118538,94.74,0.92,4.34,2026-04-06,2023-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,December,12,Payer PSP Performance,7,State Bank Of India,5657,39.38,54.5,6.12,2026-04-06,2023-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,December,12,Payer PSP Performance,8,DBS Bank India Limited,1864,96.46,1.98,1.56,2026-04-06,2023-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,December,12,Payer PSP Performance,9,Jio Payments Bank,1043,73.92,1.34,24.74,2026-04-06,2023-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,December,12,Payer PSP Performance,10,Canara Bank,430,74.19,3.72,22.09,2026-04-06,2023-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,December,12,Payer PSP Performance,11,Bank of India,249,81.93,5.22,12.85,2026-04-06,2023-01-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
