fiscal_year,year,month,month_numeric,mandate_type,sr_no,remitter_bank,total_volume,approved_percent,bd_percent,td_percent,updated_on,released_on,data_source,data_url
2022-23,2022,April,4,Mandate Execution,1,State Bank Of India,11129302,38.57,59.96,1.47,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,April,4,Mandate Execution,2,Paytm Payments Bank,3511807,14.93,84.95,0.12,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,April,4,Mandate Execution,3,Bank of Baroda,2794406,31.56,67.99,0.45,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,April,4,Mandate Execution,4,HDFC Bank Ltd,2389141,65.34,33.41,1.25,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,April,4,Mandate Execution,5,Punjab National Bank,1993237,39.05,60.68,0.27,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,April,4,Mandate Execution,6,Kotak Mahindra Bank,1799681,30.13,68.09,1.78,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,April,4,Mandate Execution,7,ICICI Bank,1630999,66.44,32.61,0.95,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,April,4,Mandate Execution,8,Bank of India,1299409,37.33,62,0.67,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,April,4,Mandate Execution,9,Axis Bank Ltd.,1288296,55.68,43.67,0.65,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,April,4,Mandate Execution,10,Canara Bank,1189488,42.49,56.01,1.5,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,April,4,Mandate Execution,11,Union Bank of India,841754,28.61,71.04,0.35,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,April,4,Mandate Execution,12,Central Bank Of India,673128,37.3,58.9,3.8,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,April,4,Mandate Execution,13,Indian Bank,671174,42.79,56.61,0.6,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,April,4,Mandate Execution,14,Federal Bank,515325,32.84,66.96,0.2,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,April,4,Mandate Execution,15,IndusInd Bank,299076,40.3,59.43,0.27,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,April,4,Mandate Execution,16,Equitas Small Finance Bank,265847,14.06,85.73,0.21,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,April,4,Mandate Execution,17,IDBI Bank Limited,246828,13.32,76.44,10.24,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,April,4,Mandate Execution,18,Indian Overseas Bank,224078,39.87,59.58,0.55,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,April,4,Mandate Execution,19,Bank of Maharashtra,198716,56.17,43.23,0.6,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,April,4,Mandate Execution,20,IDFC FIRST Bank,185427,40.13,59.03,0.84,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,April,4,Mandate Execution,21,Yes Bank Ltd,176600,42.2,56.89,0.91,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,April,4,Mandate Execution,22,Karur Vysya Bank,110974,55.15,44.59,0.26,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,April,4,Mandate Execution,23,Punjab and Sind Bank,104093,35.44,64.15,0.41,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
2022-23,2022,April,4,Mandate Execution,24,HSBC Bank,22763,82.85,14.79,2.36,2026-04-06,2022-05-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/autopay
