fiscal_year,year,month,month_numeric,day,date_stamp,volume_in_mn,value_in_cr,released_on,updated_on,data_source,data_url
2021-22,2021,May,5,1,2021-05-01,5.17,3872.91,2021-06-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,May,5,2,2021-05-02,0,0,2021-06-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,May,5,3,2021-05-03,5.58,5846.99,2021-06-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,May,5,4,2021-05-04,4.62,3811.76,2021-06-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,May,5,5,2021-05-05,2.77,5644.93,2021-06-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,May,5,6,2021-05-06,4.22,3182.72,2021-06-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,May,5,7,2021-05-07,1.59,4391.22,2021-06-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,May,5,8,2021-05-08,0,0,2021-06-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,May,5,9,2021-05-09,0,0,2021-06-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,May,5,10,2021-05-10,9.11,232.28,2021-06-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,May,5,11,2021-05-11,5.9,4224.34,2021-06-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,May,5,12,2021-05-12,3.95,5157.05,2021-06-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,May,5,13,2021-05-13,7.15,3554.14,2021-06-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,May,5,14,2021-05-14,89.8,17959.73,2021-06-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,May,5,15,2021-05-15,6.24,10149.23,2021-06-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,May,5,16,2021-05-16,0,0,2021-06-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,May,5,17,2021-05-17,1.52,3631.92,2021-06-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,May,5,18,2021-05-18,3.05,3225.69,2021-06-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,May,5,19,2021-05-19,5.96,6301.65,2021-06-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,May,5,20,2021-05-20,4.14,3281.02,2021-06-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,May,5,21,2021-05-21,4.36,4260.44,2021-06-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,May,5,22,2021-05-22,0,0,2021-06-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,May,5,23,2021-05-23,0,0,2021-06-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,May,5,24,2021-05-24,5.99,5307.53,2021-06-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,May,5,25,2021-05-25,1.65,3390.19,2021-06-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,May,5,26,2021-05-26,1.52,1762.06,2021-06-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,May,5,27,2021-05-27,2.46,2904.98,2021-06-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,May,5,28,2021-05-28,4.97,7525.21,2021-06-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,May,5,29,2021-05-29,1.76,2229.09,2021-06-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,May,5,30,2021-05-30,0,0,2021-06-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,May,5,31,2021-05-31,3.16,4616.12,2021-06-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,June,6,1,2021-06-01,2.39,3931.13,2021-07-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,June,6,2,2021-06-02,10.33,4230.02,2021-07-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,June,6,3,2021-06-03,8.13,3747.78,2021-07-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,June,6,4,2021-06-04,5.91,2709.85,2021-07-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,June,6,5,2021-06-05,6.14,3083.24,2021-07-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,June,6,6,2021-06-06,0,0,2021-07-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,June,6,7,2021-06-07,5.91,2746.8,2021-07-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,June,6,8,2021-06-08,4.96,3750.78,2021-07-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,June,6,9,2021-06-09,7.23,3500.04,2021-07-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,June,6,10,2021-06-10,3.82,3185.48,2021-07-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,June,6,11,2021-06-11,4.61,2700.03,2021-07-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,June,6,12,2021-06-12,0,0,2021-07-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,June,6,13,2021-06-13,0,0,2021-07-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,June,6,14,2021-06-14,14.96,5607.98,2021-07-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,June,6,15,2021-06-15,1.25,2935.15,2021-07-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,June,6,16,2021-06-16,2.73,2698.73,2021-07-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,June,6,17,2021-06-17,6.12,4316.72,2021-07-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,June,6,18,2021-06-18,6.15,4367.49,2021-07-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,June,6,19,2021-06-19,2.36,3841.45,2021-07-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,June,6,20,2021-06-20,0,0,2021-07-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,June,6,21,2021-06-21,3.89,2424.07,2021-07-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,June,6,22,2021-06-22,2.77,2906.33,2021-07-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,June,6,23,2021-06-23,4.61,3036.21,2021-07-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,June,6,24,2021-06-24,9.83,2954.53,2021-07-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,June,6,25,2021-06-25,8.24,7667.02,2021-07-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,June,6,26,2021-06-26,0,0,2021-07-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,June,6,27,2021-06-27,0,0,2021-07-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,June,6,28,2021-06-28,9.69,4953.91,2021-07-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,June,6,29,2021-06-29,10.93,5306.43,2021-07-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,June,6,30,2021-06-30,6.85,5665.18,2021-07-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,July,7,1,2021-07-01,11.17,7827.97,2021-08-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
