fiscal_year,year,month,month_numeric,volume_in_mn,avg_daily_volume_in_mn,value_in_cr,avg_daily_value_in_cr,released_on,updated_on,data_source,data_url
2021-22,2021,June,6,87.88,2.9293,86214.75,2873.825,2021-07-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,July,7,87.74,2.8303,85979.98,2773.5477,2021-08-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,August,8,87.69,2.8287,84818.43,2736.0784,2021-09-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,September,9,87.82,2.9273,84068.43,2802.281,2021-10-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,October,10,86.58,2.7929,85102.71,2745.2487,2021-11-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,November,11,90.02,3.0007,86517.32,2883.9107,2021-12-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,December,12,93.81,3.0261,90425.67,2916.9571,2022-01-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2022,January,1,93.42,3.0135,90702.74,2925.8948,2022-02-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2022,February,2,94.84,3.3871,90056.03,3216.2868,2022-03-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2022,March,3,97.92,3.1587,97801.22,3154.8781,2022-04-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2022-23,2022,June,6,104.81,3.4937,99060.07,3302.0023,2022-07-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2022-23,2022,July,7,106.7,3.4419,99753.52,3217.8555,2022-08-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2022-23,2022,August,8,109.73,3.5397,102099.67,3293.5377,2022-09-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2022-23,2022,September,9,111.32,3.7107,105128.31,3504.277,2022-10-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2022-23,2022,October,10,113.99,3.6772,106131.34,3423.5916,2022-11-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2022-23,2022,November,11,116.42,3.8806,109478.54,3649.2847,2022-12-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2022-23,2022,December,12,119.86,3.8663,115737.14,3733.4561,2023-01-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2022-23,2023,January,1,120.28,3.88,114952.75,3708.1533,2023-02-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2022-23,2023,February,2,121.02,4.3221,114630.47,4093.9454,2023-03-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
