fiscal_year,year,nach_products,subproducts_name,presentation_volume_nos,presentation_value_rs,returns_volume_nos,returns_value_rs,successful_transactions_volume_nos,successful_transactions_value_rs,released_on,updated_on,data_source,data_url
2020-21,2020,"NACH Debit - 306 format
(Account based)","Recurring payments (EMI, Insurance premium etc)",964574605,8702143469676.81,375450868,2715794161527.8,589123737,5986349308149.01,2021-04-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,Total Debit,Total Debit,964574605,8702143469676.81,375450868,2715794161527.8,589123737,5986349308149,2021-04-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,Total volume FY 2020 -21,Total volume FY 2020 -21,4048417677,22159802183654.2,422781584,2890926765488.44,3625636093,19268357002416.8,2021-04-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,"NACH Debit - 306 format
(Account based)","Recurring payments (EMI, Insurance premium etc)",1079538894,12219360297775.1,346145604,3140765851956.5,733393290,9078594445818.7,2022-04-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,Total Debit,Total Debit,1079538894,12219360297775.1,346145604,3140765851956.5,733393290,9078594445818.7,2022-04-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,Total volume FY 2021 -22,Total volume FY 2021 -22,4212714781,29108597573483,374742253,3332770839061.8,3837972528,25775826734421.2,2022-04-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2022-23,2022,"NACH Debit - 306 format
(Account based)","Recurring payments (EMI, Insurance premium etc)",1350264913,12802194782285,394899873,2807278704734,955365040,9994916077552,2023-04-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2022-23,2022,Total Debit,Total Debit,1350264913,12802194782285.3,394899873,2807278704733.78,955365040,9994916077551.59,2023-04-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2022-23,2022,Total volume FY 2022 -23,Total volume FY 2022 -23,5059388321,30686955106820.9,427803637,3033466387272.22,4631584684,27654393560197.7,2023-04-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2023-24,2023,"NACH Debit - 306 format
(Account based)","Recurring payments (EMI, Insurance premium etc)",1642657553,16787689589923,456558652,3470796155619,1186098901,13316893434304,2024-04-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2023-24,2023,Total Debit,Total Debit,1642657553,16787689589922.5,456558652,3470796155618.83,1186098901,13316893434303.6,2024-04-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2023-24,2023,Total volume FY 2023 -24,Total volume FY 2023 -24,5854194673,35946161533168.3,483580886,3625333712046.35,5370613787,32320827821121.9,2024-04-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2024-25,2024,"NACH Debit - 306 format 
(Account based)","Recurring payments (EMI, Insurance premium etc)",1976229057,21993270693881,504506466,4304554247905,1471722591,17688716445976,2025-04-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2024-25,2024,Total Debit,Total Debit,1976229057,21993270693881.1,504506466,4304554247905.46,1471722591,17688716445975.8,2025-04-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2024-25,2024,Total volume FY 2024 -25,Total volume FY 2024 -25,6966551182,44235847020194.2,534392731,4456940472333.51,6432158451,39778906547860.9,2025-04-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2025-26,2025,"NACH Debit - 306 format 
(Account based)","Recurring payments (EMI, Insurance premium etc)",1968677379,24307154154737.7,486973783,4656113386014.88,1481703596,19651040768723.4,2026-04-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2025-26,2025,Total Debit,Total Debit,1968677379,24307154154737.7,486973783,4656113386014.88,1481703596,19651040768723.4,2026-04-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2025-26,2025,Total volume FY 2025 - 26,Total volume FY 2025 - 26,6692766834,47847139998500.9,511200058,4782468827547.43,6181566776,43064671218954.1,2026-04-01,2026-04-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
