fiscal_year,year,month,month_numeric,bankwise_type,bank_code,bank_name,total_mandates,accepted,accepted_pct,business_declines,business_declines_pct,technical_declines,technical_declines_pct,no_response_from_customer,no_response_from_customer_pct,total_response_received,total_response_received_pct,time_out,time_out_pct,updated_on,released_on,data_source,data_url
2021-22,2022,January,1,Destination,SBIN,STATE BANK OF INDIA,426492,145466,34.11,126586,29.68,44101,10.34,101952,23.9,418105,98.03,8387,1.97,2026-04-06,2022-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2021-22,2022,January,1,Destination,HDFC,HDFC BANK LTD,272715,178444,65.43,17351,6.36,7,0,74714,27.4,270516,99.19,2199,0.81,2026-04-06,2022-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2021-22,2022,January,1,Destination,ICIC,ICICI BANK LTD,158614,77361,48.77,7204,4.54,41675,26.27,15713,9.91,141953,89.5,16661,10.5,2026-04-06,2022-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2021-22,2022,January,1,Destination,IDIB,INDIAN BANK,141018,18543,13.15,24453,17.34,12631,8.96,25140,17.83,80767,57.27,60251,42.73,2026-04-06,2022-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2021-22,2022,January,1,Destination,KKBK,KOTAK MAHINDRA BANK LTD,112540,56680,50.36,13244,11.77,6964,6.19,34929,31.04,111817,99.36,723,0.64,2026-04-06,2022-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2021-22,2022,January,1,Destination,UTIB,AXIS BANK,103943,28959,27.86,46149,44.4,2325,2.24,24604,23.67,102037,98.17,1906,1.83,2026-04-06,2022-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2021-22,2022,January,1,Destination,BARB,BANK OF BARODA,84128,6819,8.11,9816,11.67,10028,11.92,27966,33.24,54629,64.94,29499,35.06,2026-04-06,2022-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2021-22,2022,January,1,Destination,UBIN,UNION BANK OF INDIA,79985,7789,9.74,39788,49.74,17949,22.44,11894,14.87,77420,96.79,2565,3.21,2026-04-06,2022-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2021-22,2022,January,1,Destination,CNRB,CANARA BANK,79951,10863,13.59,19501,24.39,3667,4.59,36491,45.64,70522,88.21,9429,11.79,2026-04-06,2022-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2021-22,2022,January,1,Destination,PUNB,PUNJAB NATIONAL BANK,67484,8666,12.84,38275,56.72,7826,11.6,9181,13.6,63948,94.76,3536,5.24,2026-04-06,2022-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2021-22,2022,January,1,Destination,IBKL,IDBI BANK,61324,9871,16.1,2507,4.09,4505,7.35,43002,70.12,59885,97.65,1439,2.35,2026-04-06,2022-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2021-22,2022,January,1,Destination,PYTM,PAYTM PAYMENTS BANK LTD,35240,21181,60.1,5828,16.54,5,0.01,7314,20.75,34328,97.41,912,2.59,2026-04-06,2022-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2021-22,2022,January,1,Destination,BDBL,BANDHAN BANK LTD,30793,4496,14.6,8584,27.88,10459,33.97,7077,22.98,30616,99.43,177,0.57,2026-04-06,2022-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2021-22,2022,January,1,Destination,KVBL,KARUR VYSA BANK,25202,3316,13.16,1919,7.61,,,19426,77.08,24661,97.85,541,2.15,2026-04-06,2022-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
2021-22,2022,January,1,Destination,FDRL,FEDERAL BANK,20392,2309,11.32,6345,31.12,3,0.01,6950,34.08,15607,76.53,4785,23.47,2026-04-06,2022-02-15,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/ecosystem-statistics/nach
