fiscal_year,year,month,month_numeric,mandates_processed,accepted,rejected,released_on,updated_on,data_source,data_url
2020-21,2020,April,4,1338327,705671,632656,2020-05-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,May,5,922651,399967,522684,2020-06-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,June,6,1806917,994231,812686,2020-07-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,July,7,2801755,1586166,1215589,2020-08-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,August,8,2735251,1532031,1203220,2020-09-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,September,9,3547588,2053722,1493866,2020-10-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,October,10,3650852,2125019,1525833,2020-11-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,November,11,3935385,2249244,1686141,2020-12-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,December,12,4134057,2254435,1879622,2021-01-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2021,January,1,4161157,2374529,1786628,2021-02-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2021,March,3,5141034,2689751,2451283,2021-04-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,April,4,4130894,2236889,1894005,2021-05-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,May,5,3058540,1501323,1557217,2021-06-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,June,6,2574434,1252262,1322172,2021-07-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,July,7,3404435,1873764,1530671,2021-08-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,August,8,3677944,2027863,1650081,2021-09-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,September,9,3615883,1975663,1640220,2021-10-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,October,10,3534559,1911472,1623087,2021-11-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,November,11,3757919,2043247,1714672,2021-12-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,December,12,4104609,2150878,1953731,2022-01-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2022,January,1,3437564,1849521,1588043,2022-02-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2022,February,2,3477453,1865725,1611728,2022-03-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2022,March,3,3914065,1993088,1920977,2022-04-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2022-23,2022,April,4,3645265,1945853,1699412,2022-05-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2022-23,2022,May,5,3829593,1995359,1834234,2022-06-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2022-23,2022,June,6,3760183,1930436,1829747,2022-07-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2022-23,2022,July,7,3636002,1821755,1814247,2022-08-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2022-23,2022,August,8,2602509,1338407,1264102,2022-09-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2022-23,2022,September,9,3789694,1876015,1913679,2022-10-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2022-23,2022,October,10,3467978,1705112,1762866,2022-11-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2022-23,2022,November,11,4124877,1976446,2148431,2022-12-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2022-23,2022,December,12,4169377,1949348,2220029,2023-01-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2022-23,2023,January,1,3601386,1674714,1926672,2023-02-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2022-23,2023,February,2,3429222,1619613,180960,2023-03-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2022-23,2023,March,3,3929153,1779839,2149314,2023-04-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2023-24,2023,April,4,3643580,1683365,1960215,2023-05-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2023-24,2023,May,5,3906061,1690457,2215604,2023-06-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2023-24,2023,June,6,3773884,1631223,2142661,2023-07-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2023-24,2023,July,7,3934845,1759137,2175708,2023-08-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2023-24,2023,August,8,3885756,1784228,2101528,2023-09-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2023-24,2023,September,9,3303003,1578725,1724278,2023-10-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2023-24,2023,October,10,3160693,1474507,1686186,2023-11-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2023-24,2023,November,11,3677297,1574176,2103121,2023-12-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2023-24,2023,December,12,3867630,1612235,2255395,2024-01-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2023-24,2024,January,1,3686489,1611048,2075441,2024-02-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2023-24,2024,February,2,3552434,1624537,1927897,2024-03-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2023-24,2024,March,3,3516426,1608925,1907501,2024-04-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2024-25,2024,April,4,2997091,1362320,1634771,2024-05-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2024-25,2024,May,5,3224876,1448749,1776127,2024-06-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2024-25,2024,June,6,2954076,1342529,1611547,2024-07-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2024-25,2024,July,7,3159403,1428484,1730919,2024-08-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2024-25,2024,August,8,2955330,1440914,1514416,2024-09-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2024-25,2024,September,9,2645334,1242245,1403089,2024-10-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2024-25,2024,October,10,2697594,1314709,1382885,2024-11-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2024-25,2024,November,11,2646958,1223295,1423663,2024-12-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2024-25,2024,December,12,2438357,1115882,1322475,2025-01-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2024-25,2025,January,1,2539134,1197027,1342107,2025-02-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2024-25,2025,February,2,2138691,982010,1156681,2025-03-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2024-25,2025,March,3,2412357,1061986,1350371,2025-04-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2025-26,2025,April,4,2114509,940403,1174106,2025-05-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2025-26,2025,May,5,2121768,919974,1201794,2025-06-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2025-26,2025,June,6,1830524,805423,1025101,2025-07-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2025-26,2025,July,7,1963545,883953,1079592,2025-08-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2025-26,2025,August,8,1791650,792624,999026,2025-09-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2025-26,2025,September,9,1480875,689459,791416,2025-10-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2025-26,2025,October,10,1547698,721346,826352,2025-11-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2025-26,2025,November,11,1684386,771673,912713,2025-12-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2025-26,2025,December,12,1674345,722374,951971,2026-01-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2025-26,2026,January,1,1686091,743990,942101,2026-02-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2025-26,2026,February,2,1442760,642122,800638,2026-03-01,2026-03-30,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
