fiscal_year,year,month,month_numeric,nach_products,subproducts_name,presentation_volume_nos,presentation_value_rs,returns_volume_nos,returns_value_rs,successful_transactions_volume_nos,successful_transactions_value_rs,released_on,updated_on,data_source,data_url
2020-21,2020,April,4,APBS (Aadhaar based),Direct Benefit Transfer,81823522,122652442271.14,85700,162965760.82,81737822,122489476510.32,2020-05-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,April,4,NACH Debit - 306 format (Account based),"Recurring payments (EMI, Insurance premium etc)",66706364,558047189451.31,25341803,204536058446.57,41364561,353511131004.74,2020-05-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,April,4,APBS (Aadhaar based),Direct Benefit Transfer (LPG),146995295,62124941206.74,224962,99225656.7,146770333,62025715550.04,2020-05-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,April,4,Total Debit,Total Debit,66706364,558047189451.31,25341803,204536058446.57,41364561,353511131004.74,2020-05-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,April,4,APBS (Aadhaar based),Other credits,2417387,5186087764.53,3667,17100616.8,2413720,5168987147.73,2020-05-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,April,4,Total volume April 2020,Total volume April 2020,563680856,1648903869848.87,33149743,213399566691.09,530531113,1435504303157.78,2020-05-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,April,4,NACH Credit - 306 format (Account based),Direct Benefit Transfer,194658415,456052132087.71,3682422,3940080892.56,190975993,452112051195.15,2020-05-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,April,4,NACH Credit - 306 format (Account based),Direct Benefit Transfer (LPG),31477571,16978026038.4,3438188,1151640106.98,28039383,15826385931.42,2020-05-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,April,4,NACH Credit - 306 format (Account based),Other credits,39586695,426964439440.04,372946,3489226612.66,39213749,423475212827.38,2020-05-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,April,4,NACH Credit - 156 format (Account based),Other credits,15607,898611589,55,3268598,15552,895342991,2020-05-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,April,4,Total Credit,Total Credit,496974492,1090856680397.56,7807940,8863508244.52,489166552,1081993172153.04,2020-05-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,May,5,APBS (Aadhaar based),Direct Benefit Transfer,58887043,110676335495.62,46983,144814049.58,58840060,110531521446.04,2020-06-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,May,5,APBS (Aadhaar based),Direct Benefit Transfer (LPG),52479797,22130520239.49,167284,56402289.32,52312513,22074117950.17,2020-06-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,May,5,APBS (Aadhaar based),Other credits,4054070,9638495890.2,3528,27347708.53,4050542,9611148181.67,2020-06-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,May,5,NACH Credit - 306 format (Account based),Direct Benefit Transfer,58278133,176102695035.51,1035934,2466206070.72,57242199,173636488964.79,2020-06-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,May,5,NACH Credit - 306 format (Account based),Direct Benefit Transfer (LPG),17632431,7401264811.88,1781756,566154354.13,15850675,6835110457.75,2020-06-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,May,5,NACH Credit - 306 format (Account based),Other credits,23644083,1158313774765.01,325222,24060622065.91,23318861,1134253152699.1,2020-06-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,May,5,NACH Credit - 156 format (Account based),Other credits,7999,470014155,9,549864,7990,469464291,2020-06-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,May,5,Total Credit,Total Credit,214983556,1484733100392.71,3360716,27322096402.19,211622840,1457411003990.52,2020-06-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,June,6,APBS (Aadhaar based),Direct Benefit Transfer,64881593,97119773000.66,46988,135663150.62,64834605,96984109850.04,2020-07-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,June,6,APBS (Aadhaar based),Direct Benefit Transfer (LPG),70342620,10633182964.89,105950,27273333.73,70236670,10605909631.16,2020-07-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,June,6,APBS (Aadhaar based),Other credits,1886144,9915224324.17,2653,65443215.91,1883491,9849781108.26,2020-07-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,June,6,NACH Credit - 306 format (Account based),Direct Benefit Transfer,71757485,180950257074.49,1834064,2853832305.18,69923421,178096424769.31,2020-07-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,June,6,NACH Credit - 306 format (Account based),Direct Benefit Transfer (LPG),12787411,3227433911.42,579148,226697914,12208263,3000735997.42,2020-07-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,June,6,NACH Credit - 306 format (Account based),Other credits,49176131,938181154142.64,1614405,10319903743.84,47561726,927861250398.8,2020-07-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,June,6,NACH Credit - 156 format (Account based),Other credits,8238,490154354,6,470099,8232,489684255,2020-07-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,June,6,Total Credit,Total Credit,270839622,1240517179772.27,4183214,13629283762.28,266656408,1226887896009.99,2020-07-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,July,7,APBS (Aadhaar based),Direct Benefit Transfer,52091531,79026581901.95,106805,250024294.67,51984726,78776557607.28,2020-08-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,July,7,APBS (Aadhaar based),Direct Benefit Transfer (LPG),64477984,3333770998.15,217636,18596627.14,64260348,3315174371.01,2020-08-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,July,7,APBS (Aadhaar based),Other credits,1668542,7394913638.26,4058,48842624.11,1664484,7346071014.15,2020-08-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,July,7,NACH Credit - 306 format (Account based),Direct Benefit Transfer,62757225,193041826319.2,2284863,3401859198.96,60472362,189639967120.24,2020-08-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,July,7,NACH Credit - 306 format (Account based),Direct Benefit Transfer (LPG),10391575,1129206592.22,710721,135489284.6,9680854,993717307.62,2020-08-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,July,7,NACH Credit - 306 format (Account based),Other credits,32204810,794914186683.16,404561,7492407447.34,31800249,787421779235.82,2020-08-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,July,7,NACH Credit - 156 format (Account based),Other credits,9190,517345235,12,262023,9178,517083212,2020-08-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,July,7,Total Credit,Total Credit,223600857,1079357831367.94,3728656,11347481499.82,219872201,1068010349868.12,2020-08-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,August,8,APBS (Aadhaar based),Direct Benefit Transfer,44114666,75151749038.14,85760,327537686.53,44028906,74824211351.61,2020-09-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
