fiscal_year,year,nach_products,subproducts_name,presentation_volume_nos,presentation_value_rs,returns_volume_nos,returns_value_rs,successful_transactions_volume_nos,successful_transactions_value_rs,released_on,updated_on,data_source,data_url
2020-21,2020,APBS (Aadhaar based),Direct Benefit Transfer,549798647,969411477317.77,1715563,4140697162.31,548083084,965270780155.46,2021-03-01,2026-04-03,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,APBS (Aadhaar based),Direct Benefit Transfer (LPG),836458502,116558703195.91,3889287,457765448.24,832569215,116100937747.67,2021-03-01,2026-04-03,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,APBS (Aadhaar based),Other credits,69735716,946771652466.27,534132,8400917072.69,69201584,938370735393.58,2021-03-01,2026-04-03,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,NACH Credit - 306 format (Account based),Direct Benefit Transfer,997116263,2392762805255.62,18151135,26814812308.87,978965128,2365947992946.75,2021-03-01,2026-04-03,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,NACH Credit - 306 format (Account based),Direct Benefit Transfer (LPG),224870307,36230988096.43,15418876,2931241143.13,209451431,33299746953.3,2021-03-01,2026-04-03,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,NACH Credit - 306 format (Account based),Other credits,405745028,8989544728329.41,7621406,132369737428.4,398123622,8857174990901.01,2021-03-01,2026-04-03,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,NACH Credit - 156 format (Account based),Other credits,118609,6378359316.0,317,17433397.0,118292,5842510170.0,2021-03-01,2026-04-03,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,Total Credit,Total Credit,3083843072,13457658713977.4,47330716,175132603960.64,3036512356,13282007694267.8,2021-03-01,2026-04-03,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,APBS (Aadhaar based),Direct Benefit Transfer,486414783,1028833359214.86,801444,2661502103.69,485613339,1026171857111.17,2022-03-01,2026-04-03,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,APBS (Aadhaar based),Direct Benefit Transfer (LPG),743728277,25627969006.9,2861340,134865473.62,740866937,25493103533.28,2022-03-01,2026-04-03,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,APBS (Aadhaar based),Other credits,27168286,352526865544.14,109575,7022284449.17,27058711,345504581094.97,2022-03-01,2026-04-03,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,NACH Credit - 306 format (Account based),Direct Benefit Transfer,1164202099,3141324880930.39,12629231,26579318545.34,1151572868,3114745562385.05,2022-03-01,2026-04-03,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
