fiscal_year,year,month,month_numeric,nach_products,subproducts_name,presentation_volume_nos,presentation_value_rs,returns_volume_nos,returns_value_rs,successful_transactions_volume_nos,successful_transactions_value_rs,released_on,updated_on,data_source,data_url
2020-21,2020,April,4,"NACH Debit - 306 format
(Account based)","Recurring payments (EMI, Insurance premium etc)",66706364,558047189451.31,25341803,204536058446.57,41364561,353511131004.74,2020-05-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,April,4,Total Debit,Total Debit,66706364,558047189451.31,25341803,204536058446.57,41364561,353511131004.74,2020-05-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,April,4,Total volume April 2020,Total volume April 2020,563680856,1648903869848.87,33149743,213399566691.09,530531113,1435504303157.78,2020-05-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,April,4,"NACH Debit - 306 format
(Account based)","Recurring payments (EMI, Insurance premium etc)",85404619,787755109230.21,29080292,220485741801.98,56324327,567269367428.23,2021-05-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,April,4,Total Debit,Total Debit,85404619,787755109230.21,29080292,220485741801.98,56324327,567269367428.23,2021-05-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,April,4,Total volume April 2021,Total volume April 2021,285618604,1856950354493.9,31960444,231062105701.98,253658160,1625888248791.92,2021-05-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2022-23,2022,April,4,"NACH Debit - 306 format
(Account based)","Recurring payments (EMI, Insurance premium etc)",99674604,929021159645.6,29782381,209045346265.85,69892223,719975813379.75,2022-05-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2022-23,2022,April,4,Total Debit,Total Debit,99674604,929021159645.6,29782381,209045346265.85,69892223,719975813379.75,2022-05-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2022-23,2022,April,4,Total volume April 2022,Total volume April 2022,344605307,2154731562848.37,33125886,221593339966.16,311479421,1933138222882.21,2022-05-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2023-24,2023,April,4,"NACH Debit - 306 format
(Account based)","Recurring payments (EMI, Insurance premium etc)",124293454,1193375918076.4,36461621,262951046035.42,87831833,930424872040.99,2023-05-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2023-24,2023,April,4,Total Debit,Total Debit,124293454,1193375918076.4,36461621,262951046035.42,87831833,930424872040.99,2023-05-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2023-24,2023,April,4,Total volume April 2023,Total volume April 2023,331911489,2561605623651.53,38033924,269724132370.43,293877565,2291881491281.1,2023-05-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2024-25,2024,April,4,"NACH Debit - 306 format
(Account based)","Recurring payments (EMI, Insurance premium etc)",149437836,1582234016509.66,39713749,315559437319.93,109724087,1266674579189.71,2024-05-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2024-25,2024,April,4,Total Debit,Total Debit,149437836,1582234016509.66,39713749,315559437319.93,109724087,1266674579189.71,2024-05-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2024-25,2024,April,4,Total volume April 2024,Total volume April 2024,499375808,3169005977430.81,41080104,323181568236.24,458295704,2845824409194.55,2024-05-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2025-26,2025,April,4,"NACH Debit - 306 format 
(Account based)","Recurring payments (EMI, Insurance premium etc)",170927929,1977799782192.58,41794541,382113791269.09,129133388,1595685990923.56,2025-05-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2025-26,2025,April,4,Total Debit,Total Debit,170927929,1977799782192.58,41794541,382113791269.09,129133388,1595685990923.56,2025-05-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2025-26,2025,April,4,Total volume Apr 2025,Total volume Apr 2025,552063549,4100287510347.79,45129582,393424738299.07,506933967,3706862772048.79,2025-05-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,August,8,"NACH Debit - 306 format
(Account based)","Recurring payments (EMI, Insurance premium etc)",79181404,668301769914.42,31916918,215037694015.02,47264486,453264075899.4,2020-09-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,August,8,Total Debit,Total Debit,79181404,668301769914.42,31916918,215037694015.02,47264486,453264075899.4,2020-09-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,August,8,Total volume August 2020,Total volume August 2020,376348500,1596662694346.46,35517750,224293794985.65,340830750,1372368899360.81,2020-09-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,August,8,"NACH Debit - 306 format
(Account based)","Recurring payments (EMI, Insurance premium etc)",87685671,2646003865011.23,28925192,670580297186.78,58760479,1975423567824.5,2021-09-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,August,8,Total Debit,Total Debit,87685671,2646003865011.23,28925192,670580297186.78,58760479,1975423567824.5,2021-09-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,August,8,Total volume August 2021,Total volume August 2021,367532489,6403110571814.42,30719440,707829856450.23,336813049,5695280715364.24,2021-09-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2022-23,2022,August,8,"NACH Debit - 306 format
(Account based)","Recurring payments (EMI, Insurance premium etc)",109737007,1020996580721.48,32355959,222037929253.72,77381048,798958651467.77,2022-09-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2022-23,2022,August,8,Total Debit,Total Debit,109737007,1020996580721.48,32355959,222037929253.72,77381048,798958651467.77,2022-09-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2022-23,2022,August,8,Total volume August 2022,Total volume August 2022,419986703,2402439975200.18,35183364,230550796973.29,384803339,2171889178226.9,2022-09-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2023-24,2023,August,8,"NACH Debit - 306 format
(Account based)","Recurring payments (EMI, Insurance premium etc)",137417403,1345429910140.61,40552433,279846038526.68,96864970,1065583871613.92,2023-09-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2023-24,2023,August,8,Total Debit,Total Debit,137417403,1345429910140.61,40552433,279846038526.68,96864970,1065583871613.92,2023-09-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2023-24,2023,August,8,Total volume August 2023,Total volume August 2023,479357566,2832849605285.53,42264469,286382935301.68,437093097,2546466669983.84,2023-09-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2024-25,2024,August,8,"NACH Debit - 306 format
(Account based)","Recurring payments (EMI, Insurance premium etc)",162109567,1763863614574.12,42287251,344660204699.57,119822316,1419203409874.52,2024-09-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2024-25,2024,August,8,Total Debit,Total Debit,162109567,1763863614574.12,42287251,344660204699.57,119822316,1419203409874.52,2024-09-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2024-25,2024,August,8,Total volume Aug 2024,Total volume Aug 2024,593920065,3558652225755.48,45258330,351561901986.69,548661735,3207090323768.75,2024-09-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2025-26,2025,August,8,"NACH Debit - 306 format 
(Account based)","Recurring payments (EMI, Insurance premium etc)",176413713,2140314119338.66,43297600,412986246878.29,133116113,1727327872460.44,2025-09-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2025-26,2025,August,8,Total Debit,Total Debit,176413713,2140314119338.66,43297600,412986246878.29,133116113,1727327872460.44,2025-09-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2025-26,2025,August,8,Total volume Aug 2025,Total volume Aug 2025,743567547,4480369096538.47,44958292,419860661114.46,698609255,4060508435424.08,2025-09-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,December,12,"NACH Debit - 306 format
(Account based)","Recurring payments (EMI, Insurance premium etc)",84043076,815760734330,32015786,238090946840,52027290,577669787490,2021-01-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,December,12,Total Debit,Total Debit,84043076,815760734330.33,32015786,238090946840.23,52027290,577669787490.1,2021-01-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2020-21,2020,December,12,Total volume December 2020,Total volume December 2020,360052846,2080648819238.51,34785545,260566220504.85,325267301,1820082598733.66,2021-01-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,December,12,"NACH Debit - 306 format
(Account based)","Recurring payments (EMI, Insurance premium etc)",93792629,904256639432.02,28107994,220785419309.7,65684635,683471220122.32,2022-01-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,December,12,Total Debit,Total Debit,93792629,904256639432.02,28107994,220785419309.7,65684635,683471220122.32,2022-01-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2021-22,2021,December,12,Total volume December 2021,Total volume December 2021,350387373,2185479742284.77,30297576,260382178604.82,320089797,1925097563679.95,2022-01-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2022-23,2022,December,12,"NACH Debit - 306 format
(Account based)","Recurring payments (EMI, Insurance premium etc)",119858882,1157371476401.32,35187776,254620040013.19,84671106,902751436388.13,2023-01-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2022-23,2022,December,12,Total Debit,Total Debit,119858882,1157371476401.32,35187776,254620040013.19,84671106,902751436388.13,2023-01-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2022-23,2022,December,12,Total volume Dec 2022,Total volume Dec 2022,387210656,2938426475734.01,37268540,305032544393.87,349942116,2633393931340.14,2023-01-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2023-24,2023,December,12,"NACH Debit - 306 format
(Account based)","Recurring payments (EMI, Insurance premium etc)",140346262,1519905608437.1,36810997,321543337169.97,103535265,1198362271267.12,2024-01-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2023-24,2023,December,12,Total Debit,Total Debit,140346262,1519905608437.1,36810997,321543337169.97,103535265,1198362271267.12,2024-01-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2023-24,2023,December,12,Total volume November 2023,Total volume November 2023,429494036,3072479893643.69,38466962,351552137592.89,391027074,2720927756050.79,2024-01-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2024-25,2024,December,12,"NACH Debit - 306 format 
(Account based)","Recurring payments (EMI, Insurance premium etc)",173832826,1975489958001.47,42906300,394656850766.41,130926526,1580833107235.09,2025-01-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2024-25,2024,December,12,Total Debit,Total Debit,173832826,1975489958001.47,42906300,394656850766.41,130926526,1580833107235.09,2025-01-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
2024-25,2024,December,12,Total volume Dec 2025,Total volume Dec 2025,550568106,3919491343351.94,45367998,429478992298.52,505200108,3490012351053.45,2025-01-01,2026-03-01,National Payments Corporation of India (NPCI),https://www.npci.org.in/product/nach/product-statistics
